"id","label","group"
1,"Beak",2
2,"Beescratch",1
3,"Bumper",2
4,"CCL",3
5,"Cross",3
6,"DN16",1
7,"DN21",1
8,"DN63",1
9,"Double",3
10,"Feather",1
11,"Fish",2
12,"Five",3
13,"Fork",2
14,"Gallatin",1
15,"Grin",2
16,"Haecksel",3
17,"Hook",2
18,"Jet",1
19,"Jonah",3
20,"Knit",1
21,"Kringel",2
22,"MN105",3
23,"MN23",1
24,"MN60",3
25,"MN83",3
26,"Mus",1
27,"Notch",1
28,"Number1",1
29,"Oscar",1
30,"Patchback",3
31,"PL",1
32,"Quasi",1
33,"Ripplefluke",1
34,"Scabs",2
35,"Shmuddel",2
36,"SMN5",3
37,"SN100",4
38,"SN4",2
39,"SN63",2
40,"SN89",4
41,"SN9",2
42,"SN90",1
43,"SN96",2
44,"Stripes",2
45,"Thumper",2
46,"Topless",3
47,"TR120",2
48,"TR77",2
49,"TR82",1
50,"TR88",2
51,"TR99",2
52,"Trigger",3
53,"TSN103",2
54,"TSN83",2
55,"Upbang",1
56,"Vau",3
57,"Wave",1
58,"Web",1
59,"Whitetip",2
60,"Zap",3
61,"Zig",1
62,"Zipfel",2
